               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,             0.03078,            0.014577,           0.0050161,             0.80601,             0.75422,             0.77419,              0.5287,            0.024036,           0.0098397,            0.023585,            0.006535,            0.006535,            0.006535
                  58,            0.030666,            0.014435,           0.0051413,             0.79419,             0.76111,             0.76212,             0.52927,            0.023723,           0.0097727,            0.023824,           0.0064731,           0.0064731,           0.0064731
                  59,            0.030575,            0.014402,           0.0050972,             0.78399,             0.77047,             0.76782,             0.53486,            0.023798,           0.0095574,            0.024035,           0.0064112,           0.0064112,           0.0064112
                  60,            0.030402,            0.014297,             0.00486,             0.79639,             0.77639,             0.77125,             0.53264,            0.023664,           0.0095348,            0.023649,           0.0063494,           0.0063494,           0.0063494
                  61,            0.030057,            0.014343,           0.0049329,             0.79727,             0.76915,             0.76007,             0.52429,            0.023724,           0.0096042,            0.023899,           0.0062875,           0.0062875,           0.0062875
                  62,            0.030194,            0.014308,           0.0047182,              0.7937,             0.78786,             0.77005,              0.5304,            0.023413,           0.0096387,            0.024418,           0.0062256,           0.0062256,           0.0062256
                  63,            0.029528,            0.014029,           0.0046239,             0.78313,             0.79082,             0.76933,             0.53726,            0.023025,           0.0095496,            0.023633,           0.0061637,           0.0061637,           0.0061637
                  64,            0.029767,            0.014177,            0.004871,              0.8225,              0.7755,             0.77284,             0.53905,            0.023156,           0.0094423,             0.02323,           0.0061019,           0.0061019,           0.0061019
                  65,            0.029446,            0.013922,           0.0045444,             0.79986,             0.77245,             0.76635,              0.5366,            0.023191,           0.0094335,            0.022528,             0.00604,             0.00604,             0.00604
                  66,            0.029153,            0.013685,           0.0046966,             0.80604,             0.76084,             0.77419,             0.54581,            0.022799,           0.0093892,            0.022597,           0.0059781,           0.0059781,           0.0059781
                  67,            0.029298,            0.014018,           0.0045565,              0.8086,             0.77241,             0.77941,             0.55053,            0.022578,           0.0094562,             0.02368,           0.0059163,           0.0059163,           0.0059163
                  68,            0.029393,            0.014057,           0.0046346,             0.80973,             0.76767,             0.78304,             0.55644,            0.022818,           0.0093664,            0.023119,           0.0058544,           0.0058544,           0.0058544
                  69,            0.029213,            0.013899,           0.0044981,             0.79319,             0.78802,             0.77264,             0.54691,            0.022702,           0.0093171,            0.024862,           0.0057925,           0.0057925,           0.0057925
                  70,             0.02895,            0.013853,           0.0043735,             0.78165,             0.78939,             0.78409,             0.55973,            0.022694,           0.0093313,            0.024491,           0.0057306,           0.0057306,           0.0057306
                  71,            0.029024,            0.013845,           0.0046757,             0.78716,             0.79256,             0.78269,              0.5608,            0.022354,           0.0091695,            0.024766,           0.0056688,           0.0056688,           0.0056688
                  72,            0.028652,            0.013691,           0.0043393,             0.79314,             0.78428,              0.7727,             0.55035,            0.022274,           0.0092802,            0.024643,           0.0056069,           0.0056069,           0.0056069
                  73,            0.028333,            0.013641,           0.0046631,             0.80645,             0.78916,             0.77617,             0.55832,            0.022196,           0.0090704,             0.02403,            0.005545,            0.005545,            0.005545
                  74,            0.028307,            0.013397,           0.0041766,             0.81308,             0.78672,             0.78933,             0.56791,            0.022083,           0.0091727,            0.024723,           0.0054831,           0.0054831,           0.0054831
                  75,            0.028783,            0.013491,           0.0043117,             0.80251,             0.79173,             0.78903,             0.57078,            0.021693,            0.009102,             0.02426,           0.0054212,           0.0054212,           0.0054212
